Company Objective(s),DRI,Description,Target Date
"Grow Equity Revenue, with emphasis on Mid Market ",Grant Oladipo (https://www.notion.so/Grant-Oladipo-31a0d12e7cbd804aa49af17718aa4932?pvs=21),"Grow revenue in the Equity Mgt market, with specific focus on mid market companies (Series B+)","December 31, 2026"
Expand the Addressable Market,Grant Oladipo (https://www.notion.so/Grant-Oladipo-31a0d12e7cbd804aa49af17718aa4932?pvs=21),Launch new innovation product to expand beyond equity cap table offering,"December 31, 2026"
